chapter, key_id_number, "key_id_topic", "key_id_description"
2, 4," Pilgrims","  These were Separatists, an extreme group of Puritans who sought complete separation from the Church of England. The Pilgrims negotiated with the Virginia Company and secured rights to settle under its jurisdiction but missed their destination. Before landing in 1620 they established the Mayflower Compact."
2, 5," Mayflower Compact, 1620","  The 1620 covenant was the first attempt at self-government in America. It was signed on the Mayflower for the government of Plymouth colony. This set a precedent for other constitutions to follow; it was an agreement to form a governing body and submit to the will of the majority."
2, 6," Puritans","  More moderate than the Pilgrims, Puritans wanted only to separate from impurities of the Anglican Church. They formed Massachusetts Bay Company; beginning in 1630 they began colonizing Massachusetts and other places such as Barbados in the West Indies."
2, 7," Roger Williams","  An extreme Separatist, he criticized the Puritan leaders of the Massachusetts Bay Colony, denying the authority of government to regulate religion and condemning the expropriation of land from the Indians without fair compensation. He was banished.  In 1636, Williams and his followers founded the colony of Rhode Island and adopted policies of separation of church and state as well as religious toleration.  "
2, 8," Anne Hutchinson","  Hutchinson took the Puritan belief of predestination to logical extremes. She claimed that holy life wasn’t a sure sign of salvation and the truly saved need not to obey either God’s or man’s laws (antinomianism). She was banished from the Bay Colony in 1638 for her beliefs and moved with her family to Rhode Island. She later died in an Indian attack in 1643.  "
2, 9," William Bradford","  Bradford sailed to America on board the Mayflower in 1620. In 1621 he was elected governor of Plymouth Colony and was re-elected thirty times.  He worried that the non-Puritan settlements nearby would corrupt their ““godly experiment in the wilderness.”“  "
2, 10," John Winthrop","  A successful, well-to-do attorney and manor lord in England, he immigrated to Massachusetts to become its governor, believing he had a calling from God to do so. Declaring ““We shall be as a city upon a hill,”“ he helped the colony focus on its common goal, its covenant with God. "
2, 11," Fundamental Orders of Connecticut, 1639","  This was the first written constitution in North America. It established a somewhat democratic system where voters elected a governor and legislature. Unlike most other colonies, the Fundamental Orders did not limit voting to church members."
2, 12," The Colonies of New Haven, Maine, and New Hampshire","  New Haven—1638. Dismayed by what they saw as theological laxity in Massachusetts, the founders of New Haven intended this colony to be governed more strictly by biblical law. It became part of Connecticut in 1665. Maine—In 1623 Ferdinando Gorges of England set up a colony in Maine. Settlers were few, and in 1677 Massachusetts purchased the land from Gorges’s heirs. New Hampshire—Individuals who left Massachusetts for political or religious reasons settled New Hampshire. In 1641, the sparsely-settled area of New Hampshire was absorbed by Massachusetts, but it became a separate royal colony in 1679."
2, 13," New England Confederation, 1643","  This was an alliance among the Massachusetts Bay, Plymouth, Connecticut, and New Haven colonies. Its intended purpose was to provide a common defense against the French, Dutch, and Indians.  Although the Confederation turned out to be rather ineffective due to bickering among its members, it was able to deal with border disputes, runaway servants, and King Philip’s War. The greatest significance of the Confederation is that it was the first alliance among American colonies, and it showed the possibility of the colonies working together in their common interest."
2, 14," King Philip’s War, 1675–1676","  In 1675–1676, the Indian leader Metacom, known to the colonists as King Philip, struck back at whites for their intrusions on Indian lands in New England. Hundreds of settlers (perhaps over 5% of the white population) were killed and dozens of towns were damaged or destroyed, but the whites finally emerged victorious.  King Philip’s War slowed westward expansion by the English for several decades, but it also was a devastating defeat for the Native Americans who posed a lesser threat to the whites in future years."
2, 15," The Restoration—1660 ","  The British monarchy was temporarily replaced by a republic after the execution of King Charles I in 1649. In 1660 the monarchy was restored under Charles’s son Charles II . One effect of this was Charles II’s determination to reassert royal control over the American colonies, temporarily ending salutary neglect."
2, 16," Dominion of New England, 1686–1689","  King James II attempted to increase royal control of the northern colonies to allow stricter enforcement of the Navigation Acts and to strengthen colonial defenses against the French and Indians. Under Governor Edmond Andros, the British limited town meetings, imposed taxes not approved by colonial assemblies, and stringently enforced the Navigation Acts (which led to increased colonial smuggling). When the Glorious Revolution deposed James II, the Dominion collapsed and Andros fled."
2, 17," New Netherland and New Sweden","  New Netherland—1621. This colony, which focused initially on fur trading, occupied much of what are now Manhattan and the Hudson River Valley. In an attempt to draw more settlers, anyone who would bring fifty settlers was offered a patroonship, a large tract of land that he would then control in an almost-feudal manner, controlling taxes, courts, and government. In 1664 this Dutch colony was seized by Britain. New Sweden—1638. This settlement on the Delaware River was intended as a base for trading furs and tobacco. It lasted until 1655 when it was easily conquered by the Dutch."
2, 18," William Penn and the Quakers","  Quakers—More formally known as the Society of Friends, the Quakers suffered persecution in England because of their unorthodox views, their refusal to swear oaths of allegiance to the crown, and their practice of holding services outside of the established Anglican Church. Given a huge amount of land by crown to repay a debt owed to his father; Penn, a Quaker, created Pennsylvania in 1681. Penn offered colonists religious freedom (although he was forced by the crown not to allow Catholics or Jews to vote or hold political office), no tax-supported state church, no military, excellent relations with the Indians, and no restrictions on immigration."
2, 19," The Middle Colonies—New York, New Jersey, Pennsylvania, Delaware","  New York (1664, seized from the Dutch), New Jersey (1664, also formerly controlled by the Dutch), Pennsylvania (1681, see above), and Delaware (1682, also granted to William Penn) made up the middle colonies. These colonies were known for their rich, fertile soil, which led to their rich exports of grain; their deep harbors, which encouraged shipping and trade; and their broad rivers, which facilitated transportation but which were too slow to generate power for industry (as the cascading rivers of New England did)."
2, 20," Mercantilism and the Navigation Acts","  Mercantilism was the dominant economic theory of the time. It argued that a) a nation’s strength was based on the amount of gold and silver it possessed because with gold and silver, a nation could obtain ships, weapons, troops, supplies, etc., b) a nation obtained more gold and silver by exporting more than it imported, and c) colonies were to help the mother country become wealthier by sending the mother country inexpensive raw materials and buying from the mother country expensive manufactured products. One manifestation of the mercantilist system, the Navigation Acts required that goods could only be transported on British or colonial ships; tobacco, furs, sugar, and indigo were to be exported to England only; and imports could only be purchased from England.  Examples included the Wool Act of 1699 (forbidding the American colonies from exporting wool since that would compete with British wool producers), the Molasses Act of 1733 (taxing the importation of molasses from non-British sources), and the Iron Act of 1750 (limiting the colonial manufacture of metal goods such as knives and nails). Colonists rebelled and smuggling became common."
2, 21," Glorious Revolution, 1688–1689","  The Glorious Revolution of 1688–1689 dethroned the unpopular Catholic James II. He was replaced with the Protestant rulers of the Netherlands, Dutch-born William III and his English wife Mary, daughter of James II.  When the news reached America, the Dominion of New England collapsed. The new rulers enforced the Navigation Acts less strictly, leading to a period of salutary neglect. "
2, 22," Salutary Neglect","  This was the non-enforcement of mercantilist policies due to Britain focusing its attention more on the struggles with France than on ruling the colonies. Although British enforcement waxed and waned, in general salutary neglect lasted until the end of the French and Indian War in 1763.  Key ID’s Ch. 3, 1607-1692 "
3, 1,"	The Unhealthful Chesapeake","  Most early settlers in the Virginia and Maryland colonies on Chesapeake Bay were men seeking their fortune from tobacco. They outnumbered women six to one in 1650, so marriages were few. In addition, settlers in these colonies died, on average, ten years sooner than did residents of England primarily as the result of malaria, typhoid, and other diseases. As a result, families were fragile as mates often died within a few years, social restrictions were weaker (many women were already pregnant at the time of marriage), and society was more individualistic."
3, 2," Headright System","  A system in Virginia and Maryland that encouraged the importation of servant workers, it gave 50 acres of land to anyone who paid for passage of a person to the colony. This was often used by wealthier landowners who paid for the importation of indentured servants."
3, 3," Indentured Servants","  These people promised to work for several years in the colonies in exchange for transatlantic passage and eventual freedom dues—some seed corn, clothes, and, at least in earlier years, a little land. Indentured servants accounted for three-quarters of all European immigrants to Virginia and Maryland in the seventeenth century."
3, 4," Bacon’s Rebellion, 1676","  In 1676 led by Nathaniel Bacon, a number of former indentured servants who had come into conflict with the Indians over land on the western frontier of Virginia rebelled against the rule of Governor Berkeley. Berkeley supported the Indians due to his monopoly of the fur trade with them. Bacon’s forces responded by burning Jamestown. After Bacon’s death by disease, Berkeley crushed the rebellion by hanging many participants. Following Bacon’s Rebellion, many planters began to look for a more easily controlled labor force than indentured servants. Black slavery increased as a result."
3, 5," The Introduction of Slavery, 1619","  Dutch traders brought twenty African slaves to Jamestown in 1619 (ironically, the same year that representative government came to North America with the establishment of Virginia’s House of Burgesses).  From this beginning slavery spread to all thirteen American colonies. Eventually approximately 650,000 slaves were imported to the US through the international slave trade. After 1698, the British monopoly on the American slave trade ended, and American shippers joined the slave trade."
3, 6," Middle Passage","  This was the slaves’ journey from Africa to the Americas. Herded upon ships and chained below deck, they suffered death rates as high as 20% on the journey. "
3, 7," New York City Slave Rebellion, 1712","  Twenty-three slaves armed with guns, hatchets, and swords set fire to a building. When white colonists gathered to extinguish the blaze, the slaves attacked. Nine whites were killed. Militia units captured twenty-seven slaves. Of these, six committed suicide. The rest were executed. In response, New York slave laws were tightened. Gatherings of more than three slaves were banned, masters could punish a slave however they wished as long as the slave was not killed or maimed, and any slave handling a firearm would be whipped. Nevertheless, another similar arson-based rebellion occurred in New York City a few years later in 1741."
3, 8," Stono Rebellion, 1739","  A group of about fifty slaves on the Stono River of South Carolina rebelled, seized weapons, and killed about twenty-five whites. They headed for Spanish Florida where they hoped to find refuge but were intercepted by the white militia. The slaves were killed in the battle or later executed. This led to the passage of a harsher slave code that limited the privileges of slaves in order to eliminate the possibility of a slave revolt in the future. Slaves would no longer be allowed to grow their own food, assemble in groups, earn their own money, or learn to read. This was only one among the 250 slave rebellions documented in the South."
3, 9," Maroon Communities","  From the beginnings of slavery in the New World, slaves ran away. When they banded together in communities, they were known as maroons (from the Spanish for fugitive). In what became the United States, there were maroon communities in the Florida swamps (hence the desire of the Stono rebels to reach Spanish Florida), in the bayous of Louisiana, and in the Great Dismal Swamp of North Carolina. In some cases, the maroon communities carried on guerrilla war against the white-held plantations, even siding with the British at times during the Revolutionary War. The significance of the maroon communities was that they demonstrated the yearning for freedom by the enslaved."
3, 10," Healthful New England","  Better water and cooler temperatures meant that fewer colonists died of disease in New England. In fact, New England colonists lived, on average, ten years longer than did residents of England and twenty years longer than did colonists in the Chesapeake region. Longer life spans combined with the fact that Puritans tended to arrive in entire families rather than single individuals led to stronger, more stable families than in the Chesapeake region. For example, fewer brides were pregnant at the time of marriage. In addition, society was less individualistic and more focused on the community."
3, 11," The Halfway Covenant","  Relatively few second-generation Puritans were willing to join the church. Doing so meant subjecting oneself to extensive interrogation about one’s morals. Some of these interrogations lasted over a year. Because the Puritan church baptized only the babies born to saints, many first-generation Puritans faced the prospect that their grandchildren would not be baptized. So the church developed the Halfway Covenant that baptized the children of all baptized adults, whether or not the adults were church members. The adults were halfway members of the church who could not take communion or vote in church affairs. Most adults opted for this halfway status. This was the end of the Puritan mission to create the shining city on a hill since the first-generation was not able to produce a second generation with equal religious fervor.  "
3, 12," Jeremiads","  Sermons preached from Puritan pulpits in the middle of the seventeenth century, named for Jeremiah, a Biblical prophet who warned of doom. Puritan preachers noticed a decline in the religious devotion of second-generation settlers; to combat this decreasing piety, they preached a type of sermon called the jeremiad, scolding parishioners on their waning piety."
3, 13," The Salem Witch Trials, 1692","  Accusations by young girls in Salem, Massachusetts, led to the arrest of hundreds and the execution of nineteen for witchcraft. The witchcraft hysteria revealed the conflicts within Salem and the divergence of Salem and other Puritan communities from their original religious mission."
3, 14," Leisler’s Rebellion, 1689-1691","  In New York Jacob Leisler was a prosperous merchant, but he had never been accepted by the colonial elite. Following the Glorious Revolution that overthrew King James, the Dominion of New England collapsed. Leisler drove out Sir Edmond Andros’s lieutenant governor and proclaimed himself the head of the government in New York. Eventually he was executed for his reluctance in turning over power to William and Mary’s new governor. Though Leisler’s Rebellion was unsuccessful, it represented the tensions between the middle class (to which Leisler belonged) and the colonial elite. Key ID’s Ch. 4, 1700-1775"
4, 1," Colonial Population Boom","  Between 1700 and 1775, population in the thirteen colonies increased over 800%, from about 300,000 to 2,500,000. In part, this was due to immigration and in part to the practice of having large families. The significance of this is that it led to a shift in the balance of political and military power away from Britain and toward America. In 1700 there were twenty Britons for every American; by 1775 the ratio was only three to one."
4, 2," The Enlightenment","  Also known as the Age of Reason, this was a period in which reason and observation of nature began to replace revelation, reliance on tradition or traditional authority, and inward illumination as the dominant means of acquiring knowledge and understanding the world. In the American colonies, this had a number of effects. The works of European Enlightenment thinkers, especially John Locke, encouraged colonists to consider resistance to British control. European Enlightenment ideas inspired many American political thinkers to emphasize individual talent over hereditary privilege, thus promoting more social mobility in America. In religion, the ideas of the Enlightenment promoted deism, a variety of Christianity that holds that God exists, that He created the universe, but does not intervene in the affairs of humankind. It was an effort to reconcile the existence of God with newly surfacing scientific discoveries and belief in the existence of free will.  Enlightenment ideas were also one source of republican motherhood, which called on women to teach republican values within the family and granted women a new importance in American society."
4, 3," Anglicization","  This referred to the process of the American colonies gradually adopting more British values and customs over time. Colonial governments were based on English models (with a governor instead of a king, an upper house or council instead of the House of Lords, and a lower house or assembly instead of the House of Commons). Frequent contact with Britain via the trans-Atlantic print culture spread British ideas through newspapers and books that were sent from England to the colonies. Protestant Evangelicalism – George Whitefield, John Wesley, and others from England traveled across to colonies to spread religious ideas."
4, 4," The Paxton Boys—1763","  Scots-Irish immigrants were noted for their violent conflicts with Native Americans over control of land. In Paxton, Pennsylvania, the Scots-Irish community felt its requests for aid against the Indians were being ignored by colonial legislators, many of whom were Quakers and pacifists. When a group from Paxton responded to Indian conflicts by killing a tribe of peaceful Indians, the governor issued warrants for their arrest and offered protection to a group of Christianized Indians. Angered that the government would side with Native Americans, the Paxton Boys marched on the capital. Benjamin Franklin and others were able to arrange a peaceful meeting between officials and the Paxton boys, allowing the frontiersmen to air their grievances. This event was significant in that it was one of a series of conflicts between the colonial elite to the east and the poorer settlers on the western frontier. "
4, 5," Structure of Colonial Society","  In contrast to society in England, colonial society was more flexible. It was possible for a poor person to achieve economic success and rise to a higher rank. Yet as the Paxton Boys illustrated, there were real class tensions in the colonies. The largest colonial group consisted of yeoman farmers, those individuals who owned their own land, but who owned no slaves and could not afford to hire farm hands. Jefferson argued that this group of independent farmers formed the basis for democracy."
4, 6," Attempts to Ban the Slave Trade","  Slaves made up a significant portion of colonial society, about 20% overall in 1750. Concerns over slave rebellions and the injustice of slavery led some colonies to attempt to ban the international slave trade. The British authorities blocked these efforts. Under a mercantilist system, the sale of slaves (or other goods) to a colony simply enriched and strengthened the mother country. These British obstacles to ending the slave trade led Thomas Jefferson to include in his original draft of the Declaration of Independence a paragraph condemning King George III for this, but objections from South Carolina and Georgia resulted in this passage being deleted from the final draft."
4, 7," Triangle Trade","  This was a profitable trade circuit in which a skipper would leave a New England port with a cargo of rum, travel to Africa, and trade the rum for slaves. Then he would sail to the West Indies and trade the slaves for sugar and molasses, which he took back to New England to be distilled into rum to start the cycle over again."
4, 8," Established Churches","  Established churches, that is, official state churches supported by tax dollars, were common in the colonies. In New England, the Puritan church was the established church. In the southern colonies and the New York City area, the Anglican Church (Church of England) was the established church. The King of England was the head of the Anglican Church and, as such, could exercise both religious and political power. But the bonds between the Anglicans in America and the King were weak. The Anglican Church had no bishop in the colonies, so prospective ministers had to travel to England to be ordained. American ministers were to report to and be guided by their superiors in England, but distance made that difficult. Further, American Anglican clergymen often found that the wealthy planters who paid their salaries expected the ministers to be controlled by the planters, not the Church in Britain. The Anglican Church talked of establishing an American bishop in the period prior to the Revolution, but this was resisted by the colonists as an extension of kingly authority. Other factors weakening the hold of the Church of England included the fact that there was no college for training Anglican ministers until the establishment of the College of William and Mary in 1693. (Harvard, established 1636, trained Puritan ministers.) Anglican clergy in England preferred to find a congregation in England rather than serving in the rustic parishes of Virginia or Maryland. By 1672 more than 90% of Virginia parishes lacked ordained clergymen. Finally, the services were, to English critics, shockingly informal: parts of the service were often omitted, many of the clergy did not wear formal ecclesiastical garments, and in many churches there was no altar with candle and cross. With the American Revolution came a strong push for disestablishment of churches. The last state to strip tax support from the official church was Massachusetts in 1833."
4, 9," Jonathan Edwards","   Congregationalist minister Jonathan Edwards set off a religious revival known as the First Great Awakening in 1734. Edwards proclaimed the folly of believing in salvation through good works and affirmed the need for complete dependence on God’s grace. He was famous for his ““Sinners in the Hands of an Angry God”“ sermon."
4, 10," George Whitefield","  Whitefield was a powerful preacher and the other leading figure in the First Great Awakening. He relied on emotional appeals and effective oratory to convert sinners. Listeners often cried out, rolled on the ground, and fainted as Whitefield described the terrors of hell."
4, 11," The First Great Awakening—1730’s &amp; 1740’s","  At a time when the vitality was oozing away from many religious denominations, the Great Awakening, sparked by Jonathan Edwards and George Whitefield, brought a new passion and emotion to religion. The first mass movement of the American people, the Great Awakening broke down sectional boundaries and denominational lines, creating greater religious diversity. But it contributed to the growing sense that Americans had of themselves as a single people. In addition, it called on people to decide things on their individual consciences rather than on the authority of the powerful. In this sense, it was a step toward the American Revolution."
4, 12," Old and New Lights","  Old Lights were orthodox clergymen who were deeply skeptical of the emotionalism and the theatrical antics of the Great Awakening revivalists. New Lights were ministers who defended the Great Awakening for its role in revitalizing American religion."
4, 13," John Peter Zenger","  Zenger was a newspaper publisher who criticized the corrupt governor of New York and was charged with seditious libel. Andrew (not Alexander) Hamilton defended Zenger, arguing that since his charges were true, he should not be punished. The jury acquitted Zenger, helping to establish the doctrine of freedom of the press."
4, 14," Colonial Government","  Colonial governments generally consisted of governor (appointed by the king or the proprietor and expected to protect the interests of the king or proprietor), a council made up of the colonial elite (appointed and generally supportive of the governor), and a lower house or assembly (elected and generally protective of the interests of the merchants and farmers who elected them). Colonial governors often found themselves caught between what they knew to be the king’s wishes (which they were bound to carry out) and the laws passed by the assembly. These laws could contradict royal policy, but the governors often approved them anyway since failure to do so would lead the assembly to cut off the governor’s salary. The right to vote was not universal. It was restricted to free, white, adult males who, depending on the colony, belonged to the established church and/or owned land and paid sufficient taxes on that land. Yet it was relatively easy to obtain land in America, so perhaps half the adult white males were eligible to vote. However, women, Indians, slaves, and others were disenfranchised, so only 10% to 20% of the total population could vote. The vast physical separation from England (leading to long lags in communication back and forth), the dispersed population in the colonies, and the belief shared by many colonists that local self-government protected liberty while distant, concentrated authority tended toward tyranny all led many colonists to desire more self-government and to resist English authority. "
4, 15," Regulator Movement—1768-1771","  Frontiersmen in North Carolina felt the colonial elite was not representing their interests. They formed armed bands to halt foreclosures, etc., but were eventually defeated by the state militia. During the Revolution, many of the former Regulators became Loyalists, not because they loved England, but because they saw the colonial elite as their main enemy."
4, 16," Molasses Act—1733","  To discourage trade with French West Indies, Parliament levied duties on molasses, sugar, and rum imported to the colonies from non-British sources. New England, especially, protested. When Parliament did not budge, the colonists proceeded to ignore the law and engage in wholesale smuggling."
4, 17," Treaty of Utrecht—1713","  This treaty ended Queen Anne’s War (1702-1713); France gave Britain Nova Scotia, Newfoundland, and the Hudson Bay region. This treaty ushered in a generation of peace during which Britain engaged in the policy of salutary neglect, allowing the colonies to develop a degree of independence. Key ID’s Ch. 5, 1608-1763"
5, 1," French Colonial Policy","  Unlike the English who allowed free emigration to the New World as a way to deal with surplus population, the French were more restrictive. To ensure the loyalty of French colonists, they limited emigration to Catholics (France was a predominantly Catholic country). In addition, whereas English peasants often did not own the land they farmed and often lost the opportunity to farm as a result of the Enclosure movement (landowners displaced renters for the more profitable business of raising sheep to produce wool for England’s growing textile industry), French peasants generally owned their own land and lacked this incentive to emigrate. So, unlike the English colonies where large numbers of farmers worked the land intensely, French colonists focused on fur trading and grasped their lands more loosely. From a financial perspective, the French government found the sugar islands of the Caribbean to be much more valuable than the vast lands of New France (Canada) and so focused its attention on the islands. As a result, the population of the French colonies of North America was less than that of the English colonies."
5, 2," Huguenots","  A group of French Protestants, they were persecuted in their homeland. They were barred entrance to New France (Canada); this was one reason the French colony there grew slowly. Instead, many of those who were allowed to leave France settled in what eventually became New York (then New Netherland)."
5, 3," Acadians","  Acadians were the original French settlers of the seaboard area that is now Nova Scotia. This area was ceded to Britain from France in 1713. The Acadians were supposed to swear allegiance to Britain, but they didn’t. All was well until 1755 when the British drove the Acadians out of their home by force. They fled to Louisiana, a French colony at the time, where they are now known as Cajuns."
